Group,FishID,Group_Size,Date,Time,Observer,Tank,Chase,Chased,In_Refuge,Elo_daily,Elo_stability,Pellet_Bites,Pellet_Order,NovelBites,NovelOrder,Trial,Weight,Length
108,3_BR,4,8/12/19,1:14,WC,1,2,2,0,1003,0.926,3,1,,,1,0.467,31
108,4_RR,4,8/12/19,1:14,WC,1,8,0,0,1233,0.926,2,3,,,1,0.403,29
108,5_32_GB,4,8/12/19,1:14,WC,1,0,8,0,770,0.926,1,4,,,1,0.237,25
108,6_26_RY,4,8/12/19,1:14,WC,1,3,3,0,994,0.926,2,2,,,1,0.262,27
108,3_BR,4,8/13/19,12:25,JY,1,10,0,0,1307,0.926,3,1,,,2,0.467,31
108,4_RR,4,8/13/19,12:25,JY,1,3,6,0,1058,0.926,1,4,,,2,0.403,29
108,5_32_GB,4,8/13/19,12:25,JY,1,1,3,0,799,0.926,2,3,,,2,0.237,25
108,6_26_RY,4,8/13/19,12:25,JY,1,0,5,0,836,0.926,1,2,,,2,0.262,27
108,3_BR,4,8/14/19,2:11,WC,1,11,1,0,1291,0.926,3,2,,,3,0.467,31
108,4_RR,4,8/14/19,2:11,WC,1,7,5,0,1117,0.926,3,4,,,3,0.403,29
108,5_32_GB,4,8/14/19,2:11,WC,1,1,6,0,843,0.926,2,3,,,3,0.237,25
108,6_26_RY,4,8/14/19,2:11,WC,1,0,7,0,749,0.926,3,1,,,3,0.262,27
108,3_BR,4,8/15/19,11:44,JY,1,10,4,0,1073,0.926,6,1,,,4,0.467,31
108,4_RR,4,8/15/19,11:44,JY,1,11,3,0,1296,0.926,3,2,,,4,0.403,29
108,5_32_GB,4,8/15/19,11:44,JY,1,1,9,0,894,0.926,0,N/A,,,4,0.237,25
108,6_26_RY,4,8/15/19,11:44,JY,1,0,6,0,737,0.926,0,N/A,,,4,0.262,27
108,3_BR,4,8/16/19,12:25,JY,1,4,3,0,1061,0.926,6,1,,,5,0.467,31
108,4_RR,4,8/16/19,12:25,JY,1,9,0,0,1376,0.926,2,2,,,5,0.403,29
108,5_32_GB,4,8/16/19,12:25,JY,1,0,4,0,856,0.926,0,N/A,,,5,0.237,25
108,6_26_RY,4,8/16/19,12:25,JY,1,0,6,0,707,0.926,0,N/A,,,5,0.262,27
108,3_BR,4,8/17/19,3:08,JY,1,4,9,0,1018,0.926,4,3,4,1,6,0.467,31
108,4_RR,4,8/17/19,3:08,JY,1,12,1,0,1435,0.926,3,1,4,3,6,0.403,29
108,5_32_GB,4,8/17/19,3:08,JY,1,0,0,11,856,0.926,0,N/A,0,N/A,6,0.237,25
108,6_26_RY,4,8/17/19,3:08,JY,1,0,6,0,691,0.926,1,2,3,2,6,0.262,27
108,3_BR,4,8/18/19,3:14,WC,1,5,4,0,1088,0.926,4,1,1,1,7,0.467,31
108,4_RR,4,8/18/19,3:14,WC,1,10,2,0,1325,0.926,4,2,4,2,7,0.403,29
108,5_32_GB,4,8/18/19,3:14,WC,1,7,5,0,990,0.926,0,N/A,0,N/A,7,0.237,25
108,6_26_RY,4,8/18/19,3:14,WC,1,0,12,6,597,0.926,0,N/A,2,3,7,0.262,27
108,3_BR,4,8/19/19,2:54,LP,1,0,0,0,1088,0.926,0,N/A,0,N/A,8,0.467,31
108,4_RR,4,8/19/19,2:54,LP,1,9,0,0,1384,0.926,4,1,42,1,8,0.403,29
108,5_32_GB,4,8/19/19,2:54,LP,1,0,7,0,931,0.926,1,3,1,2,8,0.237,25
108,6_26_RY,4,8/19/19,2:54,LP,1,0,2,0,597,0.926,3,2,0,N/A,8,0.262,27
109,7_BB,2,9/10/19,3:12,JY,1,3,0,0,1113,0.875,39,2,,,1,0.23,26
109,8_GY,2,9/10/19,3:12,JY,1,0,3,0,887,0.875,7,1,,,1,0.286,26
109,7_BB,2,9/11/19,2:10,LP,1,0,1,0,1034,0.875,0,N/A,,,2,0.23,26
109,8_GY,2,9/11/19,2:10,LP,1,1,0,0,966,0.875,4,1,,,2,0.286,26
109,7_BB,2,9/12/19,3:03,JY,1,0,2,0,932,0.875,9,2,,,3,0.23,26
109,8_GY,2,9/12/19,3:03,JY,1,2,0,0,1068,0.875,2,1,,,3,0.286,26
109,7_BB,2,9/13/19,4:00,LP,1,1,17,0,755,0.875,0,N/A,,,4,0.23,26
109,8_GY,2,9/13/19,4:00,LP,1,17,1,0,1245,0.875,5,1,,,4,0.286,26
109,7_BB,2,9/14/19,11:12,MD,1,0,0,11,755,0.875,0,N/A,,,5,0.23,26
109,8_GY,2,9/14/19,11:12,MD,1,0,0,0,1245,0.875,4,1,,,5,0.286,26
109,7_BB,2,9/15/19,4:30,LP,1,0,0,11,755,0.875,0,N/A,4,2,6,0.23,26
109,8_GY,2,9/15/19,4:30,LP,1,0,0,0,1245,0.875,5,1,3,1,6,0.286,26
109,7_BB,2,9/16/19,2:04,MD,1,0,0,11,755,0.875,0,N/A,0,N/A,7,0.23,26
109,8_GY,2,9/16/19,2:04,MD,1,0,0,11,1245,0.875,0,N/A,0,N/A,7,0.286,26
109,7_BB,2,9/17/19,11:30,LP,1,0,0,11,755,0.875,0,N/A,2,2,8,0.23,26
109,8_GY,2,9/17/19,11:30,LP,1,0,0,6,1245,0.875,4,1,3,1,8,0.286,26
109,7_BB,2,9/18/19,12:14,MD,1,1,0,11,851,0.875,0,N/A,0,N/A,9,0.23,26
109,8_GY,2,9/18/19,12:14,MD,1,0,1,6,1149,0.875,6,1,0,N/A,9,0.286,26
109,7_BB,2,9/19/19,10:00,LP,1,0,0,11,851,0.875,0,N/A,1,1,10,0.23,26
109,8_GY,2,9/19/19,10:00,LP,1,0,0,8,1149,0.875,3,1,0,N/A,10,0.286,26
110,10_RG,2,10/7/19,3:27,JY,1,4,1,0,1051,0.667,13,1,,,1,0.181,23
110,13_YG,2,10/7/19,3:27,JY,1,1,4,0,949,0.667,15,2,,,1,0.28,27
110,10_RG,2,10/8/19,3:02,MD,1,0,14,0,773,0.667,15,1,,,2,0.181,23
110,13_YG,2,10/8/19,3:02,MD,1,14,0,0,1227,0.667,6,2,,,2,0.28,27
110,10_RG,2,10/9/19,3:45,JY,1,6,3,0,934,0.667,7,1,,,3,0.181,23
110,13_YG,2,10/9/19,3:45,JY,1,3,6,0,1066,0.667,7,2,,,3,0.28,27
110,10_RG,2,10/10/19,10:13,AR,1,6,0,0,1152,0.667,14,1,4,2,6,0.181,23
110,13_YG,2,10/10/19,10:13,AR,1,0,6,0,848,0.667,7,2,5,1,6,0.28,27
110,10_RG,2,10/11/19,2:40,MD,1,7,4,0,937,0.667,45,1,,,5,0.181,23
110,13_YG,2,10/11/19,2:40,MD,1,4,7,0,1063,0.667,6,2,,,5,0.28,27
110,10_RG,2,10/12/19,11:56,LP,1,6,4,0,913,0.667,3,2,,,4,0.181,23
110,13_YG,2,10/12/19,11:56,LP,1,4,6,0,1087,0.667,5,1,,,4,0.28,27
110,10_RG,2,10/13/19,2:22,MD,1,0,30,3,712,0.667,0,N/A,0,N/A,7,0.181,23
110,13_YG,2,10/13/19,2:22,MD,1,30,0,0,1288,0.667,6,1,4,1,7,0.28,27
110,10_RG,2,10/14/19,3:40,JY,1,0,10,0,692,0.667,0,N/A,5,2,8,0.181,23
110,13_YG,2,10/14/19,3:40,JY,1,10,0,0,1308,0.667,7,1,14,1,8,0.28,27
110,10_RG,2,10/15/19,8:15,AR,1,0,1,11,691,0.667,0,N/A,0,N/A,9,0.181,23
110,13_YG,2,10/15/19,8:15,AR,1,1,0,0,1309,0.667,6,1,6,1,9,0.28,27
110,10_RG,2,10/16/19,2:59,JY,1,0,2,11,689,0.667,1,2,0,N/A,10,0.181,23
110,13_YG,2,10/16/19,2:59,JY,1,2,0,0,1311,0.667,3,1,1,1,10,0.28,27
111,10_RY,3,10/21/19,1:53,JY,1,12,0,0,1270,0.9893,6,1,,,1,0.663,33
111,12_BR,3,10/21/19,1:53,JY,1,0,5,0,804,0.9893,0,N/A,,,1,0.411,29
111,13_22_YG,3,10/21/19,1:53,JY,1,0,7,0,926,0.9893,1,2,,,1,0.222,25
111,10_RY,3,10/22/19,8:12,AR,1,7,0,0,1318,0.9893,4,2,,,2,0.663,33
111,12_BR,3,10/22/19,8:12,AR,1,0,3,2,790,0.9893,0,N/A,,,2,0.411,29
111,13_22_YG,3,10/22/19,8:12,AR,1,0,4,1,892,0.9893,2,1,,,2,0.222,25
111,10_RY,3,10/23/19,3:50,JY,1,0,0,0,1318,0.9893,8,1,,,3,0.663,33
111,12_BR,3,10/23/19,3:50,JY,1,0,0,11,790,0.9893,0,N/A,,,3,0.411,29
111,13_22_YG,3,10/23/19,3:50,JY,1,0,0,0,892,0.9893,0,N/A,,,3,0.222,25
111,10_RY,3,10/24/19,8:20,AR,1,8,0,0,1357,0.9893,6,1,,,4,0.663,33
111,12_BR,3,10/24/19,8:20,AR,1,3,1,10,921,0.9893,1,2,,,4,0.411,29
111,13_22_YG,3,10/24/19,8:20,AR,1,0,10,0,722,0.9893,0,N/A,,,4,0.222,25
111,10_RY,3,10/25/19,1:40,ZM,1,9,0,0,1380,0.9893,5,1,,,5,0.663,33
111,12_BR,3,10/25/19,1:40,ZM,1,0,3,6,904,0.9893,2,2,,,5,0.411,29
111,13_22_YG,3,10/25/19,1:40,ZM,1,0,6,0,716,0.9893,0,N/A,,,5,0.222,25
111,10_RY,3,10/26/19,3:18,MD,1,7,0,0,1397,0.9893,6,1,3,3,6,0.663,33
111,12_BR,3,10/26/19,3:18,MD,1,1,3,11,917,0.9893,0,N/A,5,1,6,0.411,29
111,13_22_YG,3,10/26/19,3:18,MD,1,0,5,0,686,0.9893,0,N/A,3,2,6,0.222,25
111,10_RY,3,10/27/19,12:55,LP,1,2,0,0,1405,0.9893,4,1,1,2,7,0.663,33
111,12_BR,3,10/27/19,12:55,LP,1,0,2,9,909,0.9893,0,N/A,0,N/A,7,0.411,29
111,13_22_YG,3,10/27/19,12:55,LP,1,0,0,0,686,0.9893,2,2,1,1,7,0.222,25
111,10_RY,3,10/28/19,3:11,JY,1,7,0,0,1417,0.9893,6,1,3,3,8,0.663,33
111,12_BR,3,10/28/19,3:11,JY,1,1,3,6,920,0.9893,0,N/A,13,2,8,0.411,29
111,13_22_YG,3,10/28/19,3:11,JY,1,0,5,0,663,0.9893,0,N/A,12,1,8,0.222,25
111,10_RY,3,10/29/19,8:13,AR,1,10,0,0,1434,0.9893,6,1,1,1,9,0.663,33
111,12_BR,3,10/29/19,8:13,AR,1,1,5,1,923,0.9893,0,N/A,1,2,9,0.411,29
111,13_22_YG,3,10/29/19,8:13,AR,1,0,6,0,643,0.9893,1,2,0,N/A,9,0.222,25
111,10_RY,3,10/30/19,11:24,ZM,1,6,0,0,1444,0.9893,7,1,4,3,10,0.663,33
111,12_BR,3,10/30/19,11:24,ZM,1,1,3,4,930,0.9893,0,N/A,15,2,10,0.411,29
111,13_22_YG,3,10/30/19,11:24,ZM,1,0,4,0,626,0.9893,0,N/A,8,1,10,0.222,25
112,6_RR,3,12/3/19,3:25,AR,1,0,0,0,1000,0.7778,7,1,,,1,0.365,30
112,5_YB,3,12/3/19,3:25,AR,1,0,7,11,1000,0.7778,0,N/A,,,1,0.394,28
112,4_RB,3,12/3/19,3:25,AR,1,7,0,0,1000,0.7778,5,2,,,1,0.676,37
112,6_RR,3,12/4/19,2:07,CR,1,1,0,0,1050,0.7778,3,2,,,2,0.365,30
112,5_YB,3,12/4/19,2:07,CR,1,0,0,0,1000,0.7778,0,N/A,,,2,0.394,28
112,4_RB,3,12/4/19,2:07,CR,1,0,1,0,950,0.7778,7,1,,,2,0.676,37
112,6_RR,3,12/5/19,4:00,LP,1,1,2,0,998,0.7778,0,N/A,,,3,0.365,30
112,5_YB,3,12/5/19,4:00,LP,1,0,1,0,942,0.7778,1,2,,,3,0.394,28
112,4_RB,3,12/5/19,4:00,LP,1,2,0,0,1060,0.7778,6,1,,,3,0.676,37
112,6_RR,3,12/6/19,3:31,JY,1,0,8,0,835,0.7778,2,1,,,4,0.365,30
112,5_YB,3,12/6/19,3:31,JY,1,0,0,0,942,0.7778,0,N/A,,,4,0.394,28
112,4_RB,3,12/6/19,3:31,JY,1,8,0,0,1223,0.7778,4,2,,,4,0.676,37
112,6_RR,3,12/7/19,2:20,MD,1,0,3,0,811,0.7778,2,2,,,5,0.365,30
112,5_YB,3,12/7/19,2:20,MD,1,0,0,0,942,0.7778,0,N/A,,,5,0.394,28
112,4_RB,3,12/7/19,2:20,MD,1,3,0,0,1247,0.7778,2,1,,,5,0.676,37
112,6_RR,3,12/8/19,2:10,LP,1,0,1,0,805,0.7778,0,N/A,1,2,6,0.365,30
112,5_YB,3,12/8/19,2:10,LP,1,0,0,0,942,0.7778,4,2,7,3,6,0.394,28
112,4_RB,3,12/8/19,2:10,LP,1,1,0,0,1253,0.7778,2,1,4,1,6,0.676,37
112,6_RR,3,12/9/19,3:21,JY,1,0,5,0,781,0.7778,0,N/A,11,2,7,0.365,30
112,5_YB,3,12/9/19,3:21,JY,1,0,0,0,942,0.7778,0,N/A,3,3,7,0.394,28
112,4_RB,3,12/9/19,3:21,JY,1,5,0,0,1277,0.7778,6,1,8,1,7,0.676,37
112,6_RR,3,12/10/19,8:04,AR,1,0,4,0,769,0.7778,3,1,35,2,8,0.365,30
112,5_YB,3,12/10/19,8:04,AR,1,0,0,0,942,0.7778,0,N/A,10,3,8,0.394,28
112,4_RB,3,12/10/19,8:04,AR,1,4,0,0,1289,0.7778,3,2,50,1,8,0.676,37
112,6_RR,3,12/11/19,1:37,CR,1,3,7,0,1011,0.7778,3,1,3,2,9,0.365,30
112,5_YB,3,12/11/19,1:37,CR,1,0,0,0,942,0.7778,0,N/A,0,N/A,9,0.394,28
112,4_RB,3,12/11/19,1:37,CR,1,7,3,0,1047,0.7778,5,2,9,1,9,0.676,37
112,6_RR,3,12/12/19,2:30,LP,1,0,12,0,808,0.7778,4,2,6,2,10,0.365,30
112,5_YB,3,12/12/19,2:30,LP,1,0,0,11,942,0.7778,0,N/A,0,N/A,10,0.394,28
112,4_RB,3,12/12/19,2:30,LP,1,12,0,0,1250,0.7778,4,1,4,1,10,0.676,37
101,6_BR,3,1/16/20,10:30,LP,1,0,0,0,1000,0.9235,1,1,,,1,0.328,27
101,8_BY,3,1/16/20,10:30,LP,1,0,0,0,1000,0.9235,8,3,,,1,0.539,30
101,9_GG,3,1/16/20,10:30,LP,1,0,0,0,1000,0.9235,3,2,,,1,0.582,32
101,6_BR,3,1/17/20,10:00,LP,1,1,4,0,881,0.9235,5,2,,,2,0.328,27
101,8_BY,3,1/17/20,10:00,LP,1,4,1,0,1119,0.9235,3,1,,,2,0.539,30
101,9_GG,3,1/17/20,10:00,LP,1,0,0,0,1000,0.9235,2,3,,,2,0.582,32
101,6_BR,3,1/18/20,11:18,JY,1,0,0,0,881,0.9235,2,3,,,3,0.328,27
101,8_BY,3,1/18/20,11:18,JY,1,0,5,0,923,0.9235,3,2,,,3,0.539,30
101,9_GG,3,1/18/20,11:18,JY,1,5,0,0,1196,0.9235,1,1,,,3,0.582,32
101,6_BR,3,1/19/20,2:26,MD,1,0,0,0,881,0.9235,3,1,,,4,0.328,27
101,8_BY,3,1/19/20,2:26,MD,1,0,0,0,923,0.9235,0,N/A,,,4,0.539,30
101,9_GG,3,1/19/20,2:26,MD,1,0,0,11,1196,0.9235,0,N/A,,,4,0.582,32
101,6_BR,3,1/20/20,2:40,LP,1,0,1,0,868,0.9235,0,N/A,,,5,0.328,27
101,8_BY,3,1/20/20,2:40,LP,1,0,0,11,923,0.9235,0,N/A,,,5,0.539,30
101,9_GG,3,1/20/20,2:40,LP,1,1,0,0,1209,0.9235,2,1,,,5,0.582,32
101,6_BR,3,1/21/20,10:50,LP,1,0,0,11,868,0.9235,1,2,1,3,6,0.328,27
101,8_BY,3,1/21/20,10:50,LP,1,0,1,11,907,0.9235,1,3,5,2,6,0.539,30
101,9_GG,3,1/21/20,10:50,LP,1,1,0,0,1225,0.9235,3,1,5,1,6,0.582,32
101,6_BR,3,1/22/20,2:20,JY,1,0,0,11,868,0.9235,0,N/A,0,N/A,7,0.328,27
101,8_BY,3,1/22/20,2:20,JY,1,0,0,11,907,0.9235,0,N/A,0,N/A,7,0.539,30
